pmcid,journal,title,license,license_url,cjk_chars,n_xref,n_formula,n_table,n_p
PMC12412022,Chinese Journal of Chromatography,基于GeoGebra的交互式色谱初学者学习工具开发与实践——以塔板理论为例,CC-BY,creativecommons.org/licenses/by/,2058,96,147,4,55
PMC12980513,Chinese Journal of Chromatography,准确度曲线评估在尿酚定量检测方法建立中的应用,CC-BY,creativecommons.org/licenses/by/,1975,72,58,5,57
PMC13077542,Chinese Journal of Chromatography,基于机器学习的全氟及多氟化合物电离效率预测模型开发及其在半定量分析中的应用,CC-BY,creativecommons.org/licenses/by/,1822,60,13,2,32
PMC13150831,Chinese Journal of Chromatography,药学综合创新实验：分子印迹聚合物制备及其在体内药物分析样品前处理中的应用,CC-BY,creativecommons.org/licenses/by/,3201,47,11,3,48
PMC12801128,Chinese Journal of Chromatography,高降解效率分子印迹光催化剂的制备及其选择性降解性能,CC-BY,creativecommons.org/licenses/by/,1643,89,9,2,65
PMC12461488,Chinese Journal of Chromatography,儿童及青少年血清中多环芳烃浓度水平及健康风险评估,CC-BY,creativecommons.org/licenses/by/,1912,53,7,4,57
PMC12461492,Chinese Journal of Chromatography,室内灰尘中氟化液晶单体的赋存特征及人体健康暴露风险,CC-BY,creativecommons.org/licenses/by/,1436,69,7,2,34
PMC12308477,Chinese Journal of Chromatography,烟台和威海近海医药与个人护理用品分布、多介质分配行为及生态风险,CC-BY,creativecommons.org/licenses/by/,2030,144,6,3,47
PMC13103597,Chinese Journal of Hematology,1990–2021年中国伯基特淋巴瘤疾病负担分析,CC-BY,creativecommons.org/licenses/by/,1532,48,1,1,27
PMC12337226,Chinese Journal of Hematology,一个遗传性低异常纤维蛋白原血症家系及其致病机制研究,CC-BY,creativecommons.org/licenses/by/,1600,19,1,1,37
PMC13223667,Chinese Journal of Hematology,维奈克拉联合阿扎胞苷与地西他滨联合CAG方案治疗老年复发难治性急性髓系白血病的疗效及安全性比较,CC-BY,creativecommons.org/licenses/by/,1855,42,0,2,44
PMC13195550,Chinese Journal of Hematology,成人KMT2A相关急性髓系白血病的临床特征及预后分析,CC-BY,creativecommons.org/licenses/by/,1303,45,0,3,36
PMC13195549,Chinese Journal of Hematology,慢性移植物抗宿主病一线药物治疗的真实世界研究,CC-BY,creativecommons.org/licenses/by/,2702,28,0,3,45
PMC13195546,Chinese Journal of Hematology,异基因造血干细胞移植治疗RASGRP2基因相关遗传性血小板功能障碍1例报告并文献复习,CC-BY,creativecommons.org/licenses/by/,1809,12,0,1,17
PMC13195551,Chinese Journal of Hematology,iFCR方案一线治疗慢性淋巴细胞白血病/小淋巴细胞淋巴瘤长期随访结果及MRD在其中的应用价值,CC-BY,creativecommons.org/licenses/by/,1315,47,0,1,31
PMC13195552,Chinese Journal of Hematology,核糖体生物合成与靶向治疗在弥漫大B细胞淋巴瘤中的研究进展,CC-BY,creativecommons.org/licenses/by/,1537,69,0,1,25
PMC13167991,Chinese Journal of Lung Cancer,18例SMARCA4缺失或基因突变肺部肿瘤患者的临床病理与基因特征以及预后分析,CC-BY,creativecommons.org/licenses/by/,3254,70,0,1,29
PMC13168028,Chinese Journal of Lung Cancer,肠道真菌组在肺癌免疫治疗中的作用：机制、挑战与转化前景,CC-BY,creativecommons.org/licenses/by/,2125,87,0,2,35
PMC13168002,Chinese Journal of Lung Cancer,癌症神经科学视角下肺癌演进的神经调控机制与临床治疗挑战,CC-BY,creativecommons.org/licenses/by/,6818,82,0,1,50
PMC13167508,Chinese Journal of Lung Cancer,基于单细胞转录组学的新辅助免疫联合化疗治疗后肺鳞癌患者肿瘤免疫微环境特征的初步分析,CC-BY,creativecommons.org/licenses/by/,2791,70,0,0,31
PMC13168004,Chinese Journal of Lung Cancer,阻塞性睡眠呼吸暂停合并肺癌的研究进展,CC-BY,creativecommons.org/licenses/by/,3539,61,0,0,31
PMC13168003,Chinese Journal of Lung Cancer,免疫衰老背景下老年晚期NSCLC患者对PD-1/PD-L1抑制剂反应的异质性及干预策略,CC-BY,creativecommons.org/licenses/by/,2809,73,0,1,25
PMC13167505,Chinese Journal of Lung Cancer,支气管肺泡灌洗液CD4+/CD8+联合nCD64指数对肺癌与非肺癌疾病的鉴别诊断价值,CC-BY,creativecommons.org/licenses/by/,1837,38,0,6,50
PMC13078957,Chinese Journal of Lung Cancer,磨玻璃样肺腺癌医患共同决策诊疗共识,CC-BY,creativecommons.org/licenses/by/,5230,318,0,1,109
